name
Walmart
Apple
Amazon.com
Microsoft
Nike
Alphabet
JP Morgan Chase
Bank of America Corp.
Fannie Mae
State Farm Insurance Cos.
Express Scripts Holding
Target
Disney
Citi
General Motors
Ford Motor
Boeing
Costco
IBM
AT&T
Valero Energy
UnitedHealth Group
Kroger
Marathon Petroleum
HP
